reporter_code,reporter_name,id
C008,Albania,1
C020,Andorra,2
C024,Angola,3
C028,Antigua and Barbuda,4
C031,Azerbaijan,5
C032,Argentina,6
C036,Australia,7
C044,Bahamas,8
C048,"Bahrain, Kingdom of",9
C051,Armenia,10
C052,Barbados,11
C060,Bermuda,12
C064,Bhutan,13
C068,"Bolivia, Plurinational State of",14
C070,Bosnia and Herzegovina,15
C072,Botswana,16
C076,Brazil,17
C084,Belize,18
C096,Brunei Darussalam,19
C104,Myanmar,20
C108,Burundi,21
C112,Belarus,22
C116,Cambodia,23
C120,Cameroon,24
C124,Canada,25
C132,Cabo Verde,26
C136,Cayman Islands,27
C140,Central African Republic,28
C144,Sri Lanka,29
C152,Chile,30
C156,China,31
C158,Chinese Taipei,32
C170,Colombia,33
C174,Comoros,34
C178,Congo,35
C180,Democratic Republic of the Congo,36
C188,Costa Rica,37
C192,Cuba,38
C204,Benin,39
C212,Dominica,40
C214,Dominican Republic,41
C218,Ecuador,42
C222,El Salvador,43
C231,Ethiopia,44
C242,Fiji,45
C258,French Polynesia,46
C266,Gabon,47
C268,Georgia,48
C270,The Gambia,49
C275,Palestine,50
C288,Ghana,51
C296,Kiribati,52
C308,Grenada,53
C320,Guatemala,54
C324,Guinea,55
C328,Guyana,56
C340,Honduras,57
C344,"Hong Kong, China",58
C352,Iceland,59
C356,India,60
C360,Indonesia,61
C364,Iran,62
C376,Israel,63
C384,Côte d'Ivoire,64
C388,Jamaica,65
C392,Japan,66
C398,Kazakhstan,67
C400,Jordan,68
C404,Kenya,69
C410,"Korea, Republic of",70
C414,"Kuwait, the State of",71
C417,Kyrgyz Republic,72
C418,Lao People's Democratic Republic,73
C422,Lebanese Republic,74
C426,Lesotho,75
C430,Liberia,76
C446,"Macao, China",77
C450,Madagascar,78
C454,Malawi,79
C458,Malaysia,80
C462,Maldives,81
C466,Mali,82
C478,Mauritania,83
C480,Mauritius,84
C484,Mexico,85
C496,Mongolia,86
C498,"Moldova, Republic of",87
C500,Montserrat,88
C504,Morocco,89
C508,Mozambique,90
C512,Oman,91
C516,Namibia,92
C524,Nepal,93
C531,Curaçao,94
C533,"Netherlands, Kingdom of, with respect to Aruba",95
C554,New Zealand,96
C558,Nicaragua,97
C562,Niger,98
C566,Nigeria,99
C578,Norway,100
C586,Pakistan,101
C591,Panama,102
C598,Papua New Guinea,103
C600,Paraguay,104
C604,Peru,105
C608,Philippines,106
C626,Timor-Leste,107
C634,Qatar,108
C643,Russian Federation,109
C646,Rwanda,110
C662,Saint Lucia,111
C670,Saint Vincent and the Grenadines,112
C678,Sao Tomé and Principe,113
C682,"Saudi Arabia, Kingdom of",114
C686,Senegal,115
C690,Seychelles,116
C702,Singapore,117
C704,Viet Nam,118
C710,South Africa,119
C716,Zimbabwe,120
C740,Suriname,121
C748,Eswatini,122
C756,Switzerland,123
C762,Tajikistan,124
C764,Thailand,125
C768,Togo,126
C776,Tonga,127
C780,Trinidad and Tobago,128
C784,United Arab Emirates,129
C788,Tunisia,130
C792,Türkiye,131
C800,Uganda,132
C804,Ukraine,133
C807,North Macedonia,134
C818,Egypt,135
C826,United Kingdom,136
C834,Tanzania,137
C840,United States of America,138
C854,Burkina Faso,139
C858,Uruguay,140
C860,Uzbekistan,141
C888,Kosovo (under UNSC res. 1244),142
C892,Serbia,143
C893,Montenegro,144
C894,Zambia,145
U918,European Union,146
